<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2S,20130422,2.8,2.8,2.76,2.78,72800
2S,20130423,2.78,2.78,2.78,2.78,79500
2S,20130424,2.78,2.78,2.72,2.72,67500
2S,20130425,2.72,2.8,2.72,2.78,53200
2S,20130426,2.78,2.78,2.74,2.78,159400
2S,20130429,2.78,2.82,2.78,2.8,91200
2S,20130430,2.84,2.88,2.84,2.88,260500
2S,20130502,2.5,2.58,2.4,2.52,135200
2S,20130503,2.52,2.96,2.44,2.58,1299300
2S,20130507,2.7,2.7,2.6,2.6,145600
2S,20130508,2.6,2.68,2.52,2.68,46400
2S,20130509,2.68,2.68,2.48,2.6,23900
2S,20130510,2.9,3.1,2.78,2.78,1070500
2S,20130513,2.8,2.8,2.72,2.76,361600
2S,20130514,2.8,2.8,2.68,2.7,185000
2S,20130515,2.72,2.72,2.64,2.72,200600
2S,20130516,2.74,2.74,2.66,2.7,1018400
2S,20130517,2.7,2.74,2.7,2.7,113600
2S,20130520,2.7,2.7,2.64,2.64,177400
2S,20130521,2.64,2.66,2.62,2.66,45600
2S,20130522,2.62,2.7,2.62,2.64,71100
2S,20130523,2.64,2.64,2.5,2.58,394800
2S,20130527,2.5,2.56,2.5,2.5,126800
2S,20130528,2.46,2.54,2.46,2.52,133100
2S,20130529,2.54,2.56,2.54,2.56,44400
2S,20130530,2.54,2.56,2.48,2.48,94800
2S,20130531,2.5,2.5,2.48,2.48,878800
2S,20130603,2.44,2.46,2.44,2.46,238800
2S,20130604,2.46,2.46,2.46,2.46,140800
2S,20130605,2.44,2.46,2.44,2.46,48800
2S,20130606,2.42,2.42,2.4,2.4,70700
2S,20130607,2.4,2.5,2.4,2.5,42500
2S,20130610,2.52,2.54,2.5,2.54,52000
2S,20130611,2.62,2.62,2.48,2.48,27700
2S,20130612,2.44,2.46,2.4,2.46,47900
2S,20130613,2.38,2.38,2.3,2.36,48600
2S,20130614,2.3,2.5,2.3,2.5,48900
2S,20130617,2.5,2.5,2.48,2.48,1700
2S,20130618,2.48,2.48,2.44,2.46,11800
2S,20130619,2.4,2.4,2.4,2.4,16000
2S,20130620,2.4,2.4,2.4,2.4,1900
